aX,aY,aZ,gX,gY,gZ
0.497,0.092,0.379,65.369,-260.193,49.927
0.252,0.083,0.437,88.196,-261.292,45.532
0.087,0.115,0.426,98.145,-260.254,39.551
-0.107,0.172,0.315,92.041,-266.052,35.522
-0.266,0.142,0.234,76.599,-269.104,35.767
-0.436,0.147,0.046,51.025,-257.690,41.626
-0.674,0.065,-0.099,35.217,-244.507,54.077
-0.953,-0.098,-0.348,32.837,-237.122,65.979
-1.346,-0.256,-0.734,45.776,-243.286,67.383
-1.803,-0.364,-1.339,76.355,-265.137,57.068
-2.257,-0.360,-2.167,116.516,-294.373,38.818
-2.573,-0.160,-3.320,168.091,-324.890,16.235
-2.712,-0.013,-4.000,240.112,-347.046,-2.930
-2.663,-0.237,-4.000,324.341,-333.679,-23.437
-2.354,-0.521,-4.000,361.816,-259.827,-55.054
-1.995,-0.676,-3.288,313.049,-145.264,-80.688
-1.790,-0.638,-2.274,185.547,-35.645,-82.825
-1.774,-0.469,-1.569,20.630,39.612,-62.256
-1.795,-0.347,-1.083,-128.845,88.501,-30.945
-1.715,-0.298,-0.681,-233.521,123.352,0.488
-1.628,-0.277,-0.327,-292.053,149.414,24.292
-1.529,-0.266,-0.035,-316.223,162.292,35.522
-1.455,-0.206,0.112,-316.345,156.982,34.668
-1.422,-0.142,0.115,-296.997,137.390,26.428
